t,o,h,l,c
2015-01-09T09:15:00+0530,18845.9,18864.0,18790.2,18815.15
2015-01-09T09:30:00+0530,18815.15,18821.4,18758.5,18771.6
2015-01-09T09:45:00+0530,18774.15,18808.3,18761.1,18802.9
2015-01-09T10:00:00+0530,18802.9,18813.6,18758.5,18781.15
2015-01-09T10:15:00+0530,18781.15,18807.1,18769.45,18803.0
2015-01-09T10:30:00+0530,18803.0,18806.9,18764.0,18764.0
2015-01-09T10:45:00+0530,18764.0,18790.65,18745.6,18778.3
2015-01-09T11:00:00+0530,18778.3,18790.0,18771.3,18779.35
2015-01-09T11:15:00+0530,18779.35,18783.7,18734.15,18734.15
2015-01-09T11:30:00+0530,18734.15,18734.3,18685.65,18699.65
2015-01-09T11:45:00+0530,18699.65,18719.65,18697.95,18715.3
2015-01-09T12:00:00+0530,18716.3,18717.6,18570.85,18616.35
2015-01-09T12:15:00+0530,18616.35,18623.5,18575.4,18585.55
2015-01-09T12:30:00+0530,18585.55,18592.9,18517.25,18567.85
2015-01-09T12:45:00+0530,18569.5,18653.3,18547.1,18647.75
2015-01-09T13:00:00+0530,18647.75,18647.75,18565.95,18565.95
2015-01-09T13:15:00+0530,18569.4,18606.1,18557.2,18600.15
2015-01-09T13:30:00+0530,18600.15,18605.85,18568.8,18581.9
2015-01-09T13:45:00+0530,18581.9,18597.5,18493.8,18519.1
2015-01-09T14:00:00+0530,18519.1,18533.7,18479.65,18514.15
2015-01-09T14:15:00+0530,18514.15,18571.75,18490.6,18541.55
2015-01-09T14:30:00+0530,18543.15,18585.5,18504.2,18579.55
2015-01-09T14:45:00+0530,18570.35,18630.15,18557.05,18591.75
2015-01-09T15:00:00+0530,18591.75,18678.35,18591.75,18663.05
2015-01-09T15:15:00+0530,18663.05,18663.05,18582.9,18598.05
2015-01-12T09:15:00+0530,18632.0,18632.0,18530.1,18560.45
2015-01-12T09:30:00+0530,18560.45,18646.85,18533.8,18646.85
2015-01-12T09:45:00+0530,18647.9,18737.1,18631.15,18729.95
2015-01-12T10:00:00+0530,18729.95,18755.75,18708.75,18748.15
2015-01-12T10:15:00+0530,18748.15,18787.7,18742.8,18765.95
2015-01-12T10:30:00+0530,18763.15,18765.95,18728.95,18747.5
2015-01-12T10:45:00+0530,18747.5,18749.15,18701.7,18723.4
2015-01-12T11:00:00+0530,18723.4,18742.8,18720.9,18725.8
2015-01-12T11:15:00+0530,18725.8,18725.8,18702.7,18723.4
2015-01-12T11:30:00+0530,18726.4,18747.6,18705.35,18712.85
2015-01-12T11:45:00+0530,18712.85,18740.9,18711.9,18735.0
2015-01-12T12:00:00+0530,18734.1,18743.55,18673.05,18685.75
2015-01-12T12:15:00+0530,18684.25,18689.6,18629.3,18638.5
2015-01-12T12:30:00+0530,18638.5,18664.1,18638.5,18655.7
2015-01-12T12:45:00+0530,18655.7,18659.25,18635.15,18659.25
2015-01-12T13:00:00+0530,18659.25,18695.6,18655.8,18685.05
2015-01-12T13:15:00+0530,18687.5,18694.05,18670.3,18680.7
2015-01-12T13:30:00+0530,18680.7,18716.05,18674.75,18695.95
2015-01-12T13:45:00+0530,18695.95,18727.55,18694.25,18721.85
2015-01-12T14:00:00+0530,18724.0,18757.0,18721.85,18738.8
2015-01-12T14:15:00+0530,18738.2,18817.3,18730.8,18817.3
2015-01-12T14:30:00+0530,18814.5,18817.3,18774.85,18776.35
